ROI,Hemisphere,Network,BA,,
1,R,FPN,OrbFrontal,,
2,R,Limbic,OrbFrontal,,
3,R,DMN,OrbFrontal,,
4,R,FPN,OrbFrontal,,
5,R,DMN,AntPFC,,
6,R,DMN,AntPFC,,
7,R,FPN,AntPFC,,
8,R,FPN,AntPFC,,
9,R,FPN,AntPFC,,
10,R,Limbic,dlPFC,,
11,R,Limbic,dlPFC,,
12,R,SMF,FrontEyeFilds,,
13,R,DMN,FrontEyeFilds,,
14,R,FPN,FrontEyeFilds,,
15,R,Limbic,FrontEyeFilds,,
16,R,SMF,ParsOrbitalis,,
17,R,FPN,ParsOrbitalis,,
18,R,Limbic,ParsOrbitalis,,
19,R,FPN,dlPFC,,
20,R,Limbic,Broca_Triang,,
21,R,FPN,Broca-Operc,,
22,R,FPN,Broca-Operc,,
23,R,Motor,PrimMotor,,
24,R,Motor,PreMot+SuppMot,,
25,R,Motor,PreMot+SuppMot,,
26,R,Motor,PreMot+SuppMot,,
27,R,Motor,PreMot+SuppMot,,
28,R,Limbic,PreMot+SuppMot,,
29,R,Limbic,PreMot+SuppMot,,
30,R,FPN,PreMot+SuppMot,,
31,R,FPN,PreMot+SuppMot,,
32,R,Limbic,PreMot+SuppMot,,
33,R,Motor,PrimSensory,,
34,R,Motor,Insula,,
35,R,Motor,Insula,,
36,R,Limbic,Insula,,
37,R,Motor,Insula,,
38,R,Motor,PrimSensory,,
39,R,Motor,PrimSensory,,
40,R,Motor,PrimSensory,,
41,R,Visual Asso,VisMotor (precenues and superior parietal lobule),,
42,R,Visual Asso,VisMotor,,
43,R,Visual Asso,VisMotor,,
44,R,Limbic,VisMotor,,
45,R,Motor,SupramargGyr,,
46,R,Motor,SupramargGyr,,
47,R,FPN,SupramargGyr,,
48,R,FPN,AngGyrus,,
49,R,DMN,AngGyrus,,
50,R,DMN,AngGyrus,,
51,R,Motor,Temporalpole,,
52,R,SMF,Temporalpole,,
53,R,SMF,Temporalpole,,
54,R,SMF,MedTempGyrus,,
55,R,FPN,MedTempGyrus,,
56,R,SMF,InfTempGryus,,
57,R,SMF,InfTempGryus,,
58,R,Motor,InfTempGryus,,
59,R,Visual Asso,InfTempGryus,,
60,R,Motor,InfTempGryus,,
61,R,Motor,PrimAuditory,,
62,R,Motor,PrimAuditory,,
63,R,Motor,SupTemGyrus,,
64,R,SMF,SupTemGyrus,,
65,R,SMF,SupTemGyrus,,
66,R,Visual Asso,Fusiform,,
67,R,Visual Asso,Fusiform,,
68,R,Visual I,Fusiform,,
69,R,Visual Asso,Fusiform,,
70,R,FPN,Fusiform,,
71,R,Visual Asso,Fusiform,,
72,R,Visual I,Visual Assoc,,
73,R,Visual Asso,Visual Assoc,,
74,R,Visual Asso,Visual Assoc,,
75,R,Visual I,Visual Assoc,,
76,R,Visual II,SecVisual,,
77,R,Visual I,SecVisual,,
78,R,Visual II,SecVisual,,
79,R,Visual I,SecVisual,,
80,R,Visual I,SecVisual,,
81,R,Visual II,SecVisual,,
82,R,Visual I,PrimVisual,,
83,R,Limbic,DorsalACC,,
84,R,Motor,VentCing,,
85,R,DMN,VenPostCing,,
86,R,DMN,VenPostCing,,
87,R,Visual I,VenPostCing,,
88,R,Limbic,VenPostCing,,
89,R,Motor,DorsalPCC,,
90,R,DMN,DorsalPCC,,
91,R,Limbic,DorsalPCC,,
92,R,Motor,Amygdala,,
93,R,Sub,Hippocampus,,
94,R,Sub,Hippocampus,,
95,R,DMN,ParaHip (Basal ganglia),,
96,R,DMN,ParaHip,,
97,R,Sub,ParaHip,,
98,R,Visual I,SecVisual,,
99,R,Limbic,BrainStem(Basal ganglia),,
100,R,Visual II,Cerebellum,,
101,R,Cerebellum,Cerebellum,,
102,R,Visual II,Cerebellum,,
103,R,Cerebellum,Cerebellum,,
104,R,Cerebellum,Cerebellum,,
105,R,Cerebellum,Cerebellum,,
106,R,Cerebellum,Cerebellum,,
107,R,Cerebellum,Cerebellum,,
108,R,Cerebellum,Cerebellum,,
109,R,Motor,Cerebellum,,
110,R,Limbic,Cerebellum,,
111,R,FPN,Cerebellum,,
112,R,FPN,Cerebellum,,
113,R,Cerebellum,Cerebellum,,
114,R,Cerebellum,Cerebellum,,
115,R,DMN,Cerebellum,,
116,R,FPN,Cerebellum,,
117,R,Cerebellum,Cerebellum,,
118,R,Cerebellum,Cerebellum,,
119,R,Limbic,Cerebellum,,
120,R,Sub,n/a (Basal ganglia),,
121,R,Sub,Caudate,,
122,R,Sub,Caudate,,
123,R,Sub,Caudate,,
124,R,Sub,Putamen,,
125,R,Sub,Nacc,,
126,R,Sub,Thalamus,,
127,R,Sub,Thalamus,,
128,R,Sub,Thalamus,,
129,R,Cerebellum,BrainStem,,
130,R,Cerebellum,BrainStem,,
131,R,Cerebellum,BrainStem,,
132,R,Cerebellum,BrainStem,,
133,R,Cerebellum,BrainStem,,
134,L,DMN,OrbFrontal,,
135,L,Limbic,OrbFrontal,,
136,L,Limbic,OrbFrontal,,
137,L,SMF,OrbFrontal,,
138,L,DMN,AntPFC,,
139,L,FPN,AntPFC,,
140,L,SMF,OrbFrontal,,
141,L,DMN,AntPFC,,
142,L,FPN,AntPFC,,
143,L,FPN,AntPFC,,
144,L,Limbic,AntPFC,,
145,L,SMF,dlPFC,,
146,L,Limbic,dlPFC,,
147,L,FPN,dlPFC,,
148,L,SMF,FrontEyeFilds,,
149,L,SMF,FrontEyeFilds,,
150,L,SMF,FrontEyeFilds,,
151,L,SMF,ParsOrbitalis,,
152,L,Limbic,ParsOrbitalis,,
153,L,SMF,ParsOrbitalis,,
154,L,FPN,dlPFC,,
155,L,Limbic,Broca_Triang,,
156,L,SMF,Broca-Operc,,
157,L,FPN,PreMot+SuppMot,,
158,L,Motor,PrimMotor,,
159,L,Motor,PreMot+SuppMot,,
160,L,Motor,PreMot+SuppMot,,
161,L,Motor,PreMot+SuppMot,,
162,L,SMF,PreMot+SuppMot,,
163,L,Motor,PreMot+SuppMot,,
164,L,FPN,PreMot+SuppMot,,
165,L,SMF,PreMot+SuppMot,,
166,L,Motor,PreMot+SuppMot,,
167,L,Motor,PrimSensory,,
168,L,Motor,Insula,,
169,L,Limbic,Insula,,
170,L,Motor,Insula,,
171,L,Motor,PrimSensory,,
172,L,Motor,PrimSensory,,
173,L,Motor,PrimSensory,,
174,L,Motor,VisMotor,,
175,L,Visual Asso,VisMotor,,
176,L,Visual I,VisMotor,,
177,L,Visual Asso,VisMotor,,
178,L,Limbic,VisMotor,,
179,L,Motor,SupramargGyr,,
180,L,Motor,SupramargGyr,,
181,L,Motor,SupramargGyr,,
182,L,FPN,AngGyrus,,
183,L,SMF,AngGyrus,,
184,L,FPN,AngGyrus,,
185,L,SMF,Temporalpole,,
186,L,SMF,Temporalpole,,
187,L,SMF,Temporalpole,,
188,L,Motor,Temporalpole,,
189,L,Motor,Temporalpole,,
190,L,SMF,MedTempGyrus,,
191,L,Motor,MedTempGyrus,,
192,L,SMF,MedTempGyrus,,
193,L,FPN,MedTempGyrus,,
194,L,SMF,InfTempGryus,,
195,L,Motor,InfTempGryus,,
196,L,FPN,InfTempGryus,,
197,L,Motor,SupTemGyrus,,
198,L,Visual I,Fusiform,,
199,L,FPN,Fusiform,,
200,L,Visual Asso,Fusiform,,
201,L,Visual Asso,Fusiform,,
202,L,Motor,ParaHip,,
203,L,DMN,Visual Assoc,,
204,L,Visual Asso,Visual Assoc,,
205,L,Visual I,Visual Assoc,,
206,L,Visual Asso,Visual Assoc,,
207,L,Visual I,Visual Assoc,,
208,L,Visual I,Visual Assoc,,
209,L,Visual Asso,Visual Assoc,,
210,L,Visual Asso,SecVisual,,
211,L,Visual I,SecVisual,,
212,L,Visual II,SecVisual,,
213,L,Visual II,SecVisual,,
214,L,Visual II,SecVisual,,
215,L,Visual I,PrimVisual,,
216,L,Visual I,PrimVisual,,
217,L,Sub,n/a (Basal ganglia),,
218,L,Motor,PreMot+SuppMot,,
219,L,SMF,DorsalACC,,
220,L,Limbic,VentCing,,
221,L,Limbic,VentCing,,
222,L,DMN,VenPostCing,,
223,L,DMN,VenPostCing,,
224,L,Limbic,VenPostCing,,
225,L,DMN,DorsalPCC,,
226,L,Limbic,DorsalPCC,,
227,L,DMN,AnrRetrolimb,,
228,L,Sub,Amygdala,,
229,L,Sub,Hippocampus,,
230,L,Sub,Hippocampus,,
231,L,Sub,Hippocampus,,
232,L,Sub,Hippocampus,,
233,L,DMN,ParaHipp (Basal ganglia),,
234,L,DMN,ParaHipp  (Basal ganglia),,
235,L,Motor,ParaHipp,,
236,L,Cerebellum,Cerebellum,,
237,L,Cerebellum,Cerebellum,,
238,L,Cerebellum,Cerebellum,,
239,L,DMN,Cerebellum,,
240,L,Visual Asso,Cerebellum,,
241,L,Visual II,Cerebellum,,
242,L,FPN,Cerebellum,,
243,L,Cerebellum,Cerebellum,,
244,L,Limbic,Cerebellum,,
245,L,Limbic,Cerebellum,,
246,L,FPN,Cerebellum,,
247,L,FPN,Cerebellum,,
248,L,Cerebellum,Cerebellum,,
249,L,Cerebellum,Cerebellum,,
250,L,Cerebellum,Cerebellum,,
251,L,Limbic,Cerebellum,,
252,L,Cerebellum,Cerebellum,,
253,L,Cerebellum,Cerebellum,,
254,L,Cerebellum,Cerebellum,,
255,L,Cerebellum,Cerebellum,,
256,L,Cerebellum,Cerebellum,,
257,L,Sub,n/a(Basal ganglia),,
258,L,Sub,Caudate,,
259,L,Sub,Caudate,,
260,L,Sub,Caudate,,
261,L,Sub,Putamen,,
262,L,Sub,Putamen,,
263,L,Sub,Thalamus,,
264,L,Sub,Thalamus,,
265,L,BrainStem,BrainStem,,
266,L,Cerebellum,BrainStem,,
267,L,Cerebellum,BrainStem,,
268,L,Cerebellum,BrainStem,,