sub,x,y,idx
sub1,0.425606943,-0.098538761,1
sub2,-0.511039616,-1.0668242,2
sub3,0.032958693,-0.182069843,1
sub4,0.649232807,0.928134252,1
sub5,0.645855167,0.018415033,1
sub6,-0.362648479,-0.569503896,2
sub7,0.8764692,-0.089349023,1
sub8,0.703411652,1.62746257,1
sub9,0.458693201,0.538670962,1
sub10,-1.031459394,-0.024028907,2
sub11,-0.996865536,-0.279901025,2
sub12,-0.693172305,0.298020177,1
sub13,-0.490829295,0.268756762,1
sub14,0.363517051,0.289652108,1
sub15,-0.12716261,0.168036906,1
sub16,0.976561701,0.046799463,1
sub17,0.576967978,-0.093898874,1
sub18,0.358428849,1.722528892,1
sub19,-0.091505083,0.366371451,1
sub20,-0.14170624,0.403088865,1
sub21,0.530929392,0.572272941,1
sub22,0.418025218,-0.620959919,1
sub23,-1.131711747,-1.481135099,2
sub24,-0.4768564,-0.981949949,2
sub25,-0.225536699,0.33649208,1
sub26,-0.991822628,-0.535233504,2
sub27,0.25565818,-1.561309463,2